titles	genres
Spirited Away (Sen to Chihiro no kamikakushi) (2001)	fantasy
Sweet Home Alabama (2002)	romance
Wasabi (2001)	comedy
Welcome to Collinwood (2002)	comedy
Valmont (1989)	romance
Wrong Guy, The (1997)	comedy
Punch-Drunk Love (2002)	romance
Ring, The (2002)	fantasy
Grave of the Fireflies (Hotaru no haka) (1988)	animation
Professional, The (Le professionnel) (1981)	action
Frida (2002)	romance
I Spy (2002)	comedy
Femme Fatale (2002)	action
Harry Potter and the Chamber of Secrets (2002)	fantasy
Mysterious Island (1961)	sci-fi
Dog Soldiers (2002)	action
Scanners (1981)	sci-fi
Die Another Day (2002)	action
Solaris (2002)	sci-fi
Treasure Planet (2002)	animation
Brother (Brat) (1997)	action
Analyze That (2002)	comedy
Adaptation (2002)	comedy
Equilibrium (2002)	sci-fi
Hot Chick, The (2002)	comedy
Star Trek: Nemesis (2002)	sci-fi
Lord of the Rings: The Two Towers, The (2002)	fantasy
Gangs of New York (2002)	action
My Neighbor Totoro (Tonari no Totoro) (1988)	fantasy
Catch Me If You Can (2002)	comedy
Kangaroo Jack (2003)	comedy
National Security (2003)	comedy
Little Romance, A (1979)	romance
Biker Boyz (2003)	action
Last Unicorn, The (1982)	animation
How to Lose a Guy in 10 Days (2003)	comedy
Shanghai Knights (2003)	comedy
Thrill of It All, The (1963)	comedy
Pillow Talk (1959)	comedy
Old School (2003)	comedy
Core, The (2003)	sci-fi
Raising Victor Vargas (2002)	romance
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)	sci-fi
Anger Management (2003)	comedy
Andromeda Strain, The (1971)	sci-fi
Legal Eagles (1986)	comedy
X2: X-Men United (2003)	sci-fi
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)	fantasy
Matrix Reloaded, The (2003)	sci-fi
Bruce Almighty (2003)	comedy
Finding Nemo (2003)	animation
Italian Job, The (2003)	action
28 Days Later (2002)	sci-fi
Charlie's Angels: Full Throttle (2003)	action
Hulk (2003)	action
Sinbad: Legend of the Seven Seas (2003)	animation
Terminator 3: Rise of the Machines (2003)	action
Pirates of the Caribbean: The Curse of the Black Pearl (2003)	action
Bad Boys II (2003)	action
Johnny English (2003)	comedy
Lara Croft Tomb Raider: The Cradle of Life (2003)	action
One, Two, Three (1961)	comedy
Freaky Friday (2003)	comedy
S.W.A.T. (2003)	action
Shaolin Soccer (Siu lam juk kau) (2001)	comedy
American Splendor (2003)	romance
Agent Cody Banks (2003)	action
THX 1138 (1971)	sci-fi
Tremors (1990)	action
Commando (1985)	action
Medallion, The (2003)	action
Matchstick Men (2003)	comedy
Once Upon a Time in Mexico (2003)	action
Lost in Translation (2003)	romance
Millennium Actress (Sennen joyû) (2001)	romance
Underworld (2003)	action
Bubba Ho-tep (2002)	comedy
Duplex (2003)	comedy
Rundown, The (2003)	action
Under the Tuscan Sun (2003)	romance
Triplets of Belleville, The (Les triplettes de Belleville) (2003)	animation
Rules of the Game, The (La règle du jeu) (1939)	comedy
Seven Brides for Seven Brothers (1954)	romance
Avalon (2001)	sci-fi
Beethoven (1992)	comedy
Beethoven's 2nd (1993)	comedy
Cobra (1986)	action
Monty Python's The Meaning of Life (1983)	comedy
School of Rock (2003)	sci-fi
Intolerable Cruelty (2003)	romance
Kill Bill: Vol. 1 (2003)	action
Scary Movie 3 (2003)	comedy
Matrix Revolutions, The (2003)	sci-fi
Elf (2003)	comedy
Love Actually (2003)	comedy
Father of the Bride (1991)	comedy
Master and Commander: The Far Side of the World (2003)	action
Gorky Park (1983)	action
Hannah and Her Sisters (1986)	comedy
Housesitter (1992)	comedy
Hudson Hawk (1991)	comedy
Invasion of the Body Snatchers (1978)	sci-fi
Kindergarten Cop (1990)	comedy
King Ralph (1991)	comedy
Passenger 57 (1992)	action
Midnight Clear, A (1992)	romance
Summer School (1987)	comedy
Show Me Love (Fucking Åmål) (1998)	romance
Teen Wolf (1985)	comedy
Nothing to Lose (1997)	comedy
Court Jester, The (1956)	action
Play It Again, Sam (1972)	romance
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)	sci-fi
Night at the Opera, A (1935)	comedy
Shoot the Piano Player (Tirez sur le pianiste) (1960)	comedy
Big Fish (2003)	fantasy
Lord of the Rings: The Return of the King, The (2003)	fantasy
Paycheck (2003)	sci-fi
Peter Pan (2003)	fantasy
Along Came Polly (2004)	comedy
Great Gatsby, The (1974)	romance
Adventures of Ford Fairlane, The (1990)	comedy
Cool World (1992)	animation
The Butterfly Effect (2004)	sci-fi
Lost Skeleton of Cadavra, The (2002)	sci-fi
Hip Hop Witch, Da (2000)	comedy
50 First Dates (2004)	romance
Thief of Bagdad, The (1924)	fantasy
King Solomon's Mines (1985)	action
Goodbye, Mr. Chips (1939)	romance
Confessions of a Teenage Drama Queen (2004)	comedy
EuroTrip (2004)	comedy
Good bye, Lenin! (2003)	romance
Starsky & Hutch (2004)	comedy
Just One of the Guys (1985)	comedy
Girl Next Door, The (2004)	comedy
Dawn of the Dead (2004)	action
Eternal Sunshine of the Spotless Mind (2004)	romance
Jersey Girl (2004)	comedy
Ladykillers, The (2004)	comedy
Hellboy (2004)	fantasy
Home on the Range (2004)	animation
Walking Tall (2004)	action
Dawn of the Dead (1978)	action
Kill Bill: Vol. 2 (2004)	action
13 Going on 30 (2004)	romance
Man on Fire (2004)	action
Laws of Attraction (2004)	comedy
Mean Girls (2004)	comedy
Valentin (Valentín) (2002)	comedy
Troy (2004)	action
Enemy Mine (1985)	sci-fi
Band of Brothers (2001)	action
Kingdom, The (Riget) (1994)	comedy
Babylon 5: In the Beginning (1998)	sci-fi
Explorers (1985)	sci-fi
Babylon 5: The River of Souls (1998)	sci-fi
School For Scoundrels (1960)	comedy
Cypher (2002)	sci-fi
After the Thin Man (1936)	comedy
Lammbock (2001)	comedy
How to Succeed in Business Without Really Trying (1967)	comedy
Duck, You Sucker (1971)	action
Smiles of a Summer Night (Sommarnattens leende) (1955)	comedy
Death Race 2000 (1975)	sci-fi
Brigadoon (1954)	fantasy
How to Steal a Million (1966)	comedy
Shiri (Swiri) (1999)	action
Captain Blood (1935)	romance
Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979)	action
Tale of Ham and Passion, A (Jamón, Jamón) (1992)	romance
Shrek 2 (2004)	animation
Day After Tomorrow, The (2004)	sci-fi
Harry Potter and the Prisoner of Azkaban (2004)	fantasy
Chronicles of Riddick, The (2004)	sci-fi
Napoleon Dynamite (2004)	comedy
Super Size Me (2004)	comedy
Samsara (2001)	romance
Dodgeball: A True Underdog Story (2004)	comedy
Terminal, The (2004)	comedy
White Chicks (2004)	comedy
Notebook, The (2004)	romance
Kaena: The Prophecy (Kaena: La prophétie) (2003)	sci-fi
Claymation Christmas Celebration, A (1987)	comedy
Kopps (2003)	comedy
Philadelphia Experiment, The (1984)	romance
Taxi (1998)	comedy
Fahrenheit 9/11 (2004)	comedy
Spider-Man 2 (2004)	action
Before Sunset (2004)	romance
Anchorman: The Legend of Ron Burgundy (2004)	comedy
Cinderella Story, A (2004)	romance
I, Robot (2004)	sci-fi
Bourne Supremacy, The (2004)	action
Garden State (2004)	romance
Musa the Warrior (Musa) (2001)	action
Collateral (2004)	action
Code 46 (2003)	sci-fi
Harold and Kumar Go to White Castle (2004)	comedy
Princess Diaries 2: Royal Engagement, The (2004)	romance
AVP: Alien vs. Predator (2004)	action
Yu-Gi-Oh! (2004)	animation
Cellular (2004)	action
Shaun of the Dead (2004)	comedy
Ladder 49 (2004)	action
I Heart Huckabees (2004)	comedy
Primer (2004)	sci-fi
Incredibles, The (2004)	animation
Polar Express, The (2004)	animation
Finding Neverland (2004)	fantasy
National Treasure (2004)	action
SpongeBob SquarePants Movie, The (2004)	animation
Alexander (2004)	action
Closer (2004)	romance
House of Flying Daggers (Shi mian mai fu) (2004)	fantasy
Damn Yankees! (1958)	fantasy
Love Me If You Dare (Jeux d'enfants) (2003)	romance
Freshman, The (1925)	comedy
Atalante, L' (1934)	comedy
Topper (1937)	comedy
Holiday (1938)	comedy
Magnificent Obsession (1954)	romance
Music Man, The (1962)	comedy
Hobbit, The (1977)	animation
Blue Thunder (1983)	action
Kiki's Delivery Service (Majo no takkyûbin) (1989)	animation
Johnny Stecchino (1991)	comedy
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992)	animation
Fortress (1992)	sci-fi
Major League II (1994)	comedy
Lion King II: Simba's Pride, The (1998)	animation
Who Am I? (Wo shi shei) (1998)	comedy
Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)	animation
Taxi 2 (2000)	romance
10th Kingdom, The (2000)	fantasy
2046 (2004)	romance
Daria: Is It Fall Yet? (2000)	animation
Cube 2: Hypercube (2002)	sci-fi
Battlestar Galactica (2003)	sci-fi
Animatrix, The (2003)	animation
11:14 (2003)	comedy
Lemony Snicket's A Series of Unfortunate Events (2004)	fantasy
Very Long Engagement, A (Un long dimanche de fiançailles) (2004)	romance
Head-On (Gegen die Wand) (2004)	romance
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004)	sci-fi
Cat Returns, The (Neko no ongaeshi) (2002)	fantasy
Ju-on: The Grudge (2002)	fantasy
Jacket, The (2005)	romance
Millions (2004)	fantasy
Starship Troopers 2: Hero of the Federation (2004)	sci-fi
Ong-Bak: The Thai Warrior (Ong Bak) (2003)	action
Sea Inside, The (Mar adentro) (2004)	romance
Spanglish (2004)	romance
Interpreter, The (2005)	action
What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004)	animation
Scanner Darkly, A (2006)	sci-fi
Charlie and the Chocolate Factory (2005)	fantasy
Life Aquatic with Steve Zissou, The (2004)	comedy
Phantom of the Opera, The (2004)	romance
Love Song for Bobby Long, A (2004)	romance
Wizards (1977)	animation
Life and Death of Peter Sellers, The (2004)	comedy
Appleseed (Appurushîdo) (2004)	sci-fi
Assault on Precinct 13 (2005)	action
Are We There Yet? (2005)	comedy
Howl's Moving Castle (Hauru no ugoku shiro) (2004)	fantasy
Hitch (2005)	comedy
Constantine (2005)	fantasy
Kung Fu Hustle (Gong fu) (2004)	comedy
Thief and the Cobbler, The (a.k.a. Arabian Knight) (1995)	animation
Sin City (2005)	action
Sahara (2005)	action
Trip to the Moon, A (Voyage dans la lune, Le) (1902)	sci-fi
Hitchhiker's Guide to the Galaxy, The (2005)	sci-fi
Lot Like Love, A (2005)	romance
xXx: State of the Union (2005)	action
Kingdom of Heaven (2005)	action
Star Wars: Episode III - Revenge of the Sith (2005)	sci-fi
Madagascar (2005)	animation
Longest Yard, The (2005)	comedy
Mr. & Mrs. Smith (2005)	romance
Batman Begins (2005)	action
My Summer of Love (2004)	romance
War of the Worlds (2005)	sci-fi
Fantastic Four (2005)	action
Wedding Crashers (2005)	comedy
Happy Endings (2005)	comedy
Island, The (2005)	sci-fi
Bad News Bears (2005)	comedy
Sky High (2005)	comedy
Aristocrats, The (2005)	comedy
Serenity (2005)	sci-fi
Broken Flowers (2005)	comedy
Deuce Bigalow: European Gigolo (2005)	comedy
Girl in the Café, The (2005)	romance
40-Year-Old Virgin, The (2005)	comedy
Brothers Grimm, The (2005)	fantasy
Transporter 2 (2005)	action
Doom (2005)	sci-fi
Waiting... (2005)	comedy
Aeon Flux (2005)	sci-fi
Man, The (2005)	comedy
Flightplan (2005)	action
Corpse Bride (2005)	animation
Final Fantasy VII: Advent Children (2004)	sci-fi
MirrorMask (2005)	fantasy
Wallace & Gromit in The Curse of the Were-Rabbit (2005)	animation
Kiss Kiss Bang Bang (2005)	comedy
In Her Shoes (2005)	romance
Star Wreck: In the Pirkinning (2005)	sci-fi
Brokeback Mountain (2005)	romance
Weather Man, The (2005)	comedy
Chicken Little (2005)	animation
Just Friends (2005)	romance
Pride & Prejudice (2005)	romance
Harry Potter and the Goblet of Fire (2005)	fantasy
Match Point (2005)	romance
Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)	fantasy
King Kong (2005)	romance
Memoirs of a Geisha (2005)	romance
Family Stone, The (2005)	comedy
Mozart and the Whale (2005)	romance
Ringer, The (2005)	comedy
District 13 (Banlieue 13) (2004)	action
Hostel (2005)	action
Tristan & Isolde (2006)	romance
Last Holiday (2006)	romance
Hoodwinked! (2005)	animation
Underworld: Evolution (2006)	action
Little Manhattan (2005)	comedy
On Probation (Tiempo de Valientes) (2005)	action
Nanny McPhee (2005)	comedy
Imagine Me & You (2005)	romance
Date Movie (2006)	comedy
Ultraviolet (2006)	sci-fi
V for Vendetta (2006)	sci-fi
She's the Man (2006)	romance
Lives of Others, The (Das leben der Anderen) (2006)	romance
Lisbela e o Prisioneiro (Lisbela and the Prisoner) (2003)	comedy
Slither (2006)	sci-fi
Renaissance (2006)	animation
Sentinel, The (2006)	action
Mission: Impossible III (2006)	action
RV (2006)	comedy
Over the Hedge (2006)	animation
X-Men: The Last Stand (2006)	sci-fi
Break-Up, The (2006)	comedy
Cars (2006)	comedy
Nacho Libre (2006)	comedy
Click (2006)	comedy
Devil Wears Prada, The (2006)	comedy
Pirates of the Caribbean: Dead Man's Chest (2006)	action
Lady in the Water (2006)	fantasy
Jet Li's Fearless (Huo Yuan Jia) (2006)	action
Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)	fantasy
Little Miss Sunshine (2006)	comedy
Army of Shadows (L'armée des ombres) (1969)	action
Monster House (2006)	animation
Night at the Museum (2006)	fantasy
Stranger than Fiction (2006)	fantasy
Ant Bully, The (2006)	animation
Crank (2006)	action
Chaos (2005)	action
Step Up (2006)	romance
Mind Game (2004)	comedy
Illusionist, The (2006)	romance
Severance (2006)	comedy
Fountain, The (2006)	sci-fi
Snoopy Come Home (1972)	animation
Science of Sleep, The (La science des rêves) (2006)	fantasy
Everyone's Hero (2006)	animation
Apocalypto (2006)	action
Flyboys (2006)	romance
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)	comedy
Pan's Labyrinth (Laberinto del fauno, El) (2006)	fantasy
Open Season (2006)	comedy
G.O.R.A. (2004)	comedy
Departed, The (2006)	action
Employee of the Month (2006)	comedy
Man of the Year (2006)	comedy
Marine, The (2006)	action
Elementary Particles, The (Elementarteilchen) (2006)	romance
Children of Men (2006)	sci-fi
Prestige, The (2006)	sci-fi
Flushed Away (2006)	animation
Casino Royale (2006)	action
Déjà Vu (Deja Vu) (2006)	sci-fi
10 Items or Less (2006)	comedy
Holiday, The (2006)	romance
Tenacious D in The Pick of Destiny (2006)	comedy
Blood Diamond (2006)	action
Eragon (2006)	fantasy
Painted Veil, The (2006)	romance
Plague Dogs, The (1982)	animation
Arthur and the Invisibles (2007)	fantasy
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006)	comedy
Bridge to Terabithia (2007)	fantasy
Waitress (2007)	romance
Norbit (2007)	comedy
Cocaine Cowboys (2006)	action
Ratatouille (2007)	animation
Paris, I Love You (Paris, je t'aime) (2006)	romance
Music and Lyrics (2007)	romance
Hot Fuzz (2007)	action
Next (2007)	action
300 (2007)	action
Last Mimzy, The (2007)	sci-fi
Priceless (Hors de prix) (2006)	romance
Host, The (Gwoemul) (2006)	comedy
Becoming Jane (2007)	romance
Reign Over Me (2007)	comedy
Shooter (2007)	action
TMNT (Teenage Mutant Ninja Turtles) (2007)	animation
Sunshine (2007)	sci-fi
Fracture (2007)	action
Big Nothing (2006)	comedy
Spider-Man 3 (2007)	action
Paprika (Papurika) (2006)	animation
Day Watch (Dnevnoy dozor) (2006)	sci-fi
Hairspray (2007)	comedy
28 Weeks Later (2007)	action
Shrek the Third (2007)	comedy
Once (2006)	romance
Pirates of the Caribbean: At World's End (2007)	comedy
Librarian: Return to King Solomon's Mines, The (2006)	action
Cashback (2006)	fantasy
Fido (2006)	comedy
Death at a Funeral (2007)	comedy
Live Free or Die Hard (2007)	action
Transformers (2007)	sci-fi
Harry Potter and the Order of the Phoenix (2007)	fantasy
I Now Pronounce You Chuck and Larry (2007)	comedy
Across the Universe (2007)	romance
Hot Rod (2007)	comedy
Stardust (2007)	fantasy
Simpsons Movie, The (2007)	animation
Bourne Ultimatum, The (2007)	action
Superbad (2007)	comedy
Rush Hour 3 (2007)	comedy
Kingdom, The (2007)	action
War (2007)	action
Atonement (2007)	romance
Game Plan, The (2007)	comedy
Persepolis (2007)	animation
The Jane Austen Book Club (2007)	romance
Man from Earth, The (2007)	sci-fi
Beowulf (2007)	animation
Mr. Magorium's Wonder Emporium (2007)	fantasy
Southland Tales (2006)	sci-fi
Smiley Face (2007)	comedy
Mist, The (2007)	sci-fi
Enchanted (2007)	romance
Golden Compass, The (2007)	fantasy
I Am Legend (2007)	sci-fi
Futurama: Bender's Big Score (2007)	animation
Juno (2007)	comedy
Wristcutters: A Love Story (2006)	romance
Walk Hard: The Dewey Cox Story (2007)	comedy
Dedication (2007)	romance
Battlestar Galactica: Razor (2007)	sci-fi
P.S. I Love You (2007)	romance
27 Dresses (2008)	romance
D-War (Dragon Wars) (2007)	action
Cloverfield (2008)	sci-fi
Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)	romance
Rambo (Rambo 4) (2008)	action
Hellboy II: The Golden Army (2008)	action
In Bruges (2008)	comedy
Teeth (2007)	comedy
Jumper (2008)	action
Spiderwick Chronicles, The (2008)	fantasy
Other Boleyn Girl, The (2008)	romance
Doomsday (2008)	sci-fi
Horton Hears a Who! (2008)	comedy
Mongol (2007)	romance
Penelope (2006)	romance
Dark Knight, The (2008)	action
Leatherheads (2008)	comedy
Forgetting Sarah Marshall (2008)	comedy
Visitor, The (2007)	romance
Forbidden Kingdom, The (2008)	fantasy
Iron Man (2008)	sci-fi
Taken (2008)	action
Fall, The (2006)	fantasy
Stargate: The Ark of Truth (2008)	sci-fi
What Happens in Vegas... (2008)	comedy
Chronicles of Narnia: Prince Caspian, The (2008)	fantasy
Shelter (2007)	romance
Indiana Jones and the Kingdom of the Crystal Skull (2008)	comedy
Sex and the City (2008)	romance
Kung Fu Panda (2008)	animation
You Don't Mess with the Zohan (2008)	comedy
Incredible Hulk, The (2008)	sci-fi
WALL·E (2008)	romance
Wanted (2008)	action
Futurama: The Beast with a Billion Backs (2008)	comedy
It's the Great Pumpkin, Charlie Brown (1966)	animation
Journey to the Center of the Earth (2008)	fantasy
Space Chimps (2008)	animation
Stargate: Continuum (2008)	sci-fi
Watchmen (2009)	sci-fi
Step Brothers (2008)	comedy
X-Files: I Want to Believe, The (2008)	romance
Mummy: Tomb of the Dragon Emperor, The (2008)	action
Vicky Cristina Barcelona (2008)	romance
Pineapple Express (2008)	comedy
Star Wars: The Clone Wars (2008)	animation
Henry Poole is Here (2008)	romance
Waltz with Bashir (Vals im Bashir) (2008)	animation
Death Race (2008)	action
House Bunny, The (2008)	comedy
Burn After Reading (2008)	comedy
Babylon A.D. (2008)	sci-fi
Onion Movie, The (2008)	comedy
Nick and Norah's Infinite Playlist (2008)	comedy
Dead Leaves (2004)	animation
FLCL (2000)	action
RocknRolla (2008)	action
Futurama: Bender's Game (2008)	animation
Madagascar: Escape 2 Africa (2008)	animation
Slumdog Millionaire (2008)	romance
Quantum of Solace (2008)	action
Role Models (2008)	comedy
Sex Drive (2008)	comedy
Beverly Hills Chihuahua (2008)	comedy
Bolt (2008)	animation
Twilight (2008)	fantasy
Transporter 3 (2008)	action
Igor (2008)	fantasy
Wallace and Gromit in 'A Matter of Loaf and Death' (2008)	animation
Starship Troopers 3: Marauder (2008)	sci-fi
Gran Torino (2008)	comedy
Reader, The (2008)	romance
Wrestler, The (2008)	romance
Curious Case of Benjamin Button, The (2008)	romance
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)	animation
Choke (2008)	comedy
Blackadder's Christmas Carol (1988)	comedy
Marley & Me (2008)	comedy
Ponyo (Gake no ue no Ponyo) (2008)	animation
Ip Man (2008)	action
Tale of Despereaux, The (2008)	animation
Bride Wars (2009)	comedy
Underworld: Rise of the Lycans (2009)	action
Inkheart (2008)	fantasy
Paul Blart: Mall Cop (2009)	comedy
Outlander (2008)	sci-fi
Coraline (2009)	animation
Push (2009)	action
International, The (2009)	action
Two Lovers (2008)	romance
He's Just Not That Into You (2009)	romance
Futurama: Into the Wild Green Yonder (2009)	animation
Funny People (2009)	comedy
Tyler Perry's Madea Goes to Jail (2009)	comedy
Dr. Horrible's Sing-Along Blog (2008)	comedy
I Love You, Man (2009)	comedy
Knowing (2009)	sci-fi
Kung Fu Panda: Secrets of the Furious Five (2008)	animation
Monsters vs. Aliens (2009)	animation
Sita Sings the Blues (2008)	animation
Adventureland (2009)	romance
Confessions of a Shopaholic (2009)	romance
Inglourious Basterds (2009)	action
Moon (2009)	sci-fi
Young Victoria, The (2009)	romance
X-Men Origins: Wolverine (2009)	action
Star Trek (2009)	sci-fi
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009)	action
Angels & Demons (2009)	action
Terminator Salvation (2009)	sci-fi
Brothers Bloom, The (2008)	romance
Drag Me to Hell (2009)	comedy
Up (2009)	animation
Hangover, The (2009)	comedy
Dead Snow (Død snø) (2009)	comedy
Land of the Lost (2009)	comedy
Proposal, The (2009)	comedy
Year One (2009)	comedy
Hurt Locker, The (2008)	action
Raiders of the Lost Ark: The Adaptation (1989)	action
Transformers: Revenge of the Fallen (2009)	action
Public Enemies (2009)	romance
Hood of Horror (2006)	comedy
(500) Days of Summer (2009)	romance
Librarian, The: The Curse of the Judas Chalice (2008)	action
Harry Potter and the Half-Blood Prince (2009)	fantasy
Imaginarium of Doctor Parnassus, The (2009)	fantasy
Ugly Truth, The (2009)	comedy
District 9 (2009)	sci-fi
Julie & Julia (2009)	comedy
Race to Witch Mountain (2009)	sci-fi
G.I. Joe: The Rise of Cobra (2009)	sci-fi
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007)	animation
Goods: Live Hard, Sell Hard, The (2009)	comedy
Adam (2009)	romance
Time Traveler's Wife, The (2009)	romance
Secret in Their Eyes, The (El secreto de sus ojos) (2009)	romance
9 (2009)	sci-fi
Frequently Asked Questions About Time Travel (2009)	sci-fi
Pandorum (2009)	sci-fi
Men Who Stare at Goats, The (2009)	comedy
Jennifer's Body (2009)	comedy
Gamer (2009)	sci-fi
Cloudy with a Chance of Meatballs (2009)	animation
Terra (a.k.a. Battle for Terra) (2007)	sci-fi
Serious Man, A (2009)	comedy
Haunted World of El Superbeasto, The (2009)	animation
Surrogates (2009)	sci-fi
Zombieland (2009)	comedy
Education, An (2009)	romance
Law Abiding Citizen (2009)	fantasy
Mary and Max (2009)	animation
Up in the Air (2009)	romance
Balance (1989)	animation
Saw VI (2009)	comedy
Astro Boy (2009)	animation
Fantastic Mr. Fox (2009)	animation
Battlestar Galactica: The Plan (2009)	sci-fi
2012 (2009)	sci-fi
Broken Embraces (Los abrazos rotos) (2009)	romance
Sleep Dealer (2008)	sci-fi
Blind Side, The  (2009)	action
Shrink (2009)	comedy
Lovely Bones, The (2009)	fantasy
Princess and the Frog, The (2009)	animation
Avatar (2009)	sci-fi
Sherlock Holmes (2009)	action
Carriers (2009)	action
Youth in Revolt (2009)	animation
Daybreakers (2010)	sci-fi
Book of Eli, The (2010)	action
Soul Kitchen (2009)	comedy
Dragon Hunters (Chasseurs de dragons) (2008)	fantasy
3 Idiots (2009)	comedy
Legion (2010)	fantasy
Dante's Inferno Animated (2010)	animation
I Love You Phillip Morris (2009)	comedy
First Day of the Rest of Your Life, The (Le premier jour du reste de ta vie) (2008)	comedy
Valentine's Day (2010)	comedy
Shutter Island (2010)	action
Persuasion (2007)	romance
Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)	action
Percy Jackson & the Olympians: The Lightning Thief (2010)	fantasy
Spy Next Door, The (2010)	action
District 13: Ultimatum (Banlieue 13 - Ultimatum) (2009)	action
Dear John (2010)	romance
Gentlemen of Fortune (Dzhentlmeny udachi) (1972)	comedy
Room, The (2003)	comedy
Alice in Wonderland (2010)	fantasy
Green Zone (2010)	action
From Paris with Love (2010)	romance
She's Out of My League (2010)	romance
Remember Me (2010)	romance
Bounty Hunter, The (2010)	comedy
Hot Tub Time Machine (2010)	comedy
How to Train Your Dragon (2010)	fantasy
Clash of the Titans (2010)	fantasy
Kick-Ass (2010)	action
Date Night (2010)	comedy
Death at a Funeral (2010)	comedy
Losers, The (2010)	comedy
Last Song, The (2010)	romance
Iron Man 2 (2010)	sci-fi
Cemetery Junction (2010)	comedy
Blue Valentine (2010)	romance
Killers (2010)	action
Prince of Persia: The Sands of Time (2010)	fantasy
Get Him to the Greek (2010)	comedy
Letters to Juliet (2010)	romance
41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It, The (2010)	comedy
A-Team, The (2010)	action
Toy Story 3 (2010)	animation
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010)	animation
Last Airbender, The (2010)	fantasy
Predators (2010)	action
Despicable Me (2010)	animation
Inception (2010)	sci-fi
Grown Ups (2010)	comedy
Sorcerer's Apprentice, The (2010)	action
Knight and Day (2010)	action
Karate Kid, The (2010)	action
Kids Are All Right, The (2010)	comedy
Batman: Under the Red Hood (2010)	animation
Salt (2010)	action
Mr. Nobody (2009)	sci-fi
Ip Man 2 (2010)	action
Charlie St. Cloud (2010)	romance
Rebound, The (2009)	romance
Other Guys, The (2010)	comedy
Expendables, The (2010)	action
Scott Pilgrim vs. the World (2010)	fantasy
Centurion (2010)	action
Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989)	animation
Switch, The (2010)	comedy
Machete (2010)	action
Going the Distance (2010)	comedy
Town, The (2010)	action
Easy A (2010)	comedy
Legend of the Guardians: The Owls of Ga'Hoole (2010)	animation
Life as We Know It (2010)	comedy
You Will Meet a Tall Dark Stranger (2010)	comedy
Monsters (2010)	romance
Illusionist, The (L'illusionniste) (2010)	animation
Red (2010)	action
Due Date (2010)	comedy
Megamind (2010)	animation
Harry Potter and the Deathly Hallows: Part 1 (2010)	fantasy
Tangled (2010)	animation
Fighter, The (2010)	romance
Skyline (2010)	sci-fi
Beastly (2011)	romance
Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)	fantasy
Tourist, The (2010)	romance
All Good Things (2010)	romance
Tron: Legacy (2010)	sci-fi
Little Fockers (2010)	comedy
Tucker & Dale vs Evil (2010)	comedy
Green Hornet, The (2011)	action
Cowboys & Aliens (2011)	action
Dilemma, The (2011)	romance
Trip, The (2010)	comedy
Limitless (2011)	sci-fi
All-Star Superman (2011)	action
Unknown (2011)	action
Paul (2011)	comedy
Brother 2 (Brat 2) (2000)	action
Rango (2011)	animation
Take Me Home Tonight (2011)	comedy
Adjustment Bureau, The (2011)	sci-fi
Mechanic, The (2011)	action
Hall Pass (2011)	comedy
I Am Number Four (2011)	action
Battle: Los Angeles (2011)	sci-fi
Summer Wars (Samâ wôzu) (2009)	sci-fi
Mars Needs Moms (2011)	animation
Red Riding Hood (2011)	romance
Troll Hunter, The (Trolljegeren) (2010)	fantasy
Source Code (2011)	romance
Hop (2011)	animation
13 Assassins (Jûsan-nin no shikaku) (2010)	action
Hanna (2011)	action
Rio (2011)	animation
Thor (2011)	action
Louis C.K.: Shameless (2007)	comedy
Water for Elephants (2011)	romance
Fast Five (Fast and the Furious 5, The) (2011)	action
Something Borrowed (2011)	comedy
Bridesmaids (2011)	comedy
Priest (2011)	sci-fi
Pirates of the Caribbean: On Stranger Tides (2011)	comedy
Midnight in Paris (2011)	romance
The Man from Nowhere (2010)	action
Attack the Block (2011)	comedy
Kung Fu Panda 2 (2011)	animation
X-Men: First Class (2011)	fantasy
Super 8 (2011)	sci-fi
